date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:06:41	296/296	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2010%20Dec%202022%2015:06:41%20GMT	http://localhost/robots.txt		(from )
07:06:44	203356/203356	---MC-	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202022%2015:06:41%20GMT	http://localhost/codeanddesign/	C:/webpage/webpage/localhost/codeanddesign/index.html	(from )
07:06:44	40634/40634	---M--	200	added ('OK')	text/css	etag:%229eba-5ee64dc88df27%22	http://localhost/codeanddesign/wp-content/themes/astra/assets/css/minified/main.min.css?ver=3.9.4	C:/webpage/webpage/localhost/codeanddesign/wp-content/themes/astra/assets/css/minified/main.minf3c8.css	(from http://localhost/codeanddesign/)
07:06:45	18169/18169	---M--	200	added ('OK')	text/css	etag:%2246f9-5ef7a01507b53%22	http://localhost/codeanddesign/wp-content/uploads/premium-addons-elementor/pa-frontend-2fe868524.min.css?ver=1670684803	C:/webpage/webpage/localhost/codeanddesign/wp-content/uploads/premium-addons-elementor/pa-frontend-2fe868524.min9b46.css	(from http://localhost/codeanddesign/)
07:06:46	910/910	---M--	200	added ('OK')	application/rss+xml	etag:%22360f277ccbfbfe085301fe894aeb27e2%22	http://localhost/codeanddesign/feed/	C:/webpage/webpage/localhost/codeanddesign/feed/index.html	(from http://localhost/codeanddesign/)
07:06:46	804/804	---M--	200	added ('OK')	application/rss+xml	etag:%22360f277ccbfbfe085301fe894aeb27e2%22	http://localhost/codeanddesign/comments/feed/	C:/webpage/webpage/localhost/codeanddesign/comments/feed/index.html	(from http://localhost/codeanddesign/)
07:06:46	94889/94889	---M--	200	added ('OK')	text/css	etag:%22172a9-5ed33192c4540%22	http://localhost/codeanddesign/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	C:/webpage/webpage/localhost/codeanddesign/wp-includes/css/dist/block-library/style.min6a4d.css	(from http://localhost/codeanddesign/)
07:06:48	98/98	---M--	200	added ('OK')	text/css	etag:%2262-5ee680d525e71%22	http://localhost/codeanddesign/wp-content/plugins/export-wp-page-to-static-html-pro-premium/public/css/export-wp-page-to-static-html-public.css?ver=1.0.4	C:/webpage/webpage/localhost/codeanddesign/wp-content/plugins/export-wp-page-to-static-html-pro-premium/public/css/export-wp-page-to-static-html-public4b68.css	(from http://localhost/codeanddesign/)
07:06:48	15507/15507	---M--	200	added ('OK')	text/css	etag:%223c93-5ef54a2686b00%22	http://localhost/codeanddesign/wp-content/uploads/astra-addon/astra-addon-6392234091a659-31119111.css?ver=3.9.3	C:/webpage/webpage/localhost/codeanddesign/wp-content/uploads/astra-addon/astra-addon-6392234091a659-31119111657a.css	(from http://localhost/codeanddesign/)
07:06:48	19279/19279	---M--	200	added ('OK')	text/css	etag:%224b4f-5ee6509ea6cdf%22	http://localhost/codeanddesign/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.16.0	C:/webpage/webpage/localhost/codeanddesign/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min91ce.css	(from http://localhost/codeanddesign/)
07:06:48	103736/103736	---M--	200	added ('OK')	text/css	etag:%2219538-5ee6509e77915%22	http://localhost/codeanddesign/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.8.1	C:/webpage/webpage/localhost/codeanddesign/wp-content/plugins/elementor/assets/css/frontend-lite.min7e2e.css	(from http://localhost/codeanddesign/)
